GOI,NON_GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type
0.890290946124737,0.890290946124737,0.890290946124737,12620,16709,710,963,0.929102554663918,0.95923991044262,75,"1232129, 1988909, 463872, 39733, 196093",all,mcc
0.89663893596004,0.89663893596004,0.89663893596004,760,1539,118,0,1,0.928786964393482,0,"1476166, 1267759, 436031, 1050762, 1556857",training,percent
0.550890688656913,0.550890688656913,0.550890688656913,12464,8457,7044,420,0.967401428127911,0.545577704664215,275,"1476166, 1267759, 436031, 1050762, 1556857",validation,percent
0.579390607748054,0.579390607748054,0.579390607748054,13224,9996,7162,420,0.969217238346526,0.582585382911761,275,"1476166, 1267759, 436031, 1050762, 1556857",all,percent
0.893440096690225,0.893440096690225,0.893440096690225,760,1535,122,0,1,0.926372963186482,0,"1082147, 1267759, 436031, 1050762, 463460",training,percent
0.546421725584104,0.546421725584104,0.546421725584104,12607,8158,7493,262,0.979640997746523,0.521244648904223,140,"1082147, 1267759, 436031, 1050762, 463460",validation,percent
0.574715793028582,0.574715793028582,0.574715793028582,13367,9693,7615,262,0.980776285861032,0.560030043910331,140,"1082147, 1267759, 436031, 1050762, 463460",all,percent
0.889466195943459,0.889466195943459,0.889466195943459,760,1530,127,0,1,0.923355461677731,0,"1967157, 1267759, 254671, 1050762, 463460",training,percent
0.569131022271697,0.569131022271697,0.569131022271697,12485,8648,6982,282,0.977911803869351,0.553294945617402,263,"1967157, 1267759, 254671, 1050762, 463460",validation,percent
0.595190757836304,0.595190757836304,0.595190757836304,13245,10178,7109,282,0.979152805500111,0.58876612483369,263,"1967157, 1267759, 254671, 1050762, 463460",all,percent
0.892643136272447,0.892643136272447,0.892643136272447,760,1534,123,0,1,0.925769462884731,0,"297982, 1267759, 436031, 1050762, 463460",training,percent
0.50190884966126,0.50190884966126,0.50190884966126,12622,7244,8378,253,0.980349514563107,0.463705031366022,163,"297982, 1267759, 436031, 1050762, 463460",validation,percent
0.534420381957473,0.534420381957473,0.534420381957473,13382,8778,8501,253,0.981444811147781,0.508015510156838,163,"297982, 1267759, 436031, 1050762, 463460",all,percent
0.887094848295902,0.887094848295902,0.887094848295902,760,1527,130,0,1,0.92154496077248,0,"2079449, 1267759, 436031, 1050762, 1556857",training,percent
0.536442141117014,0.536442141117014,0.536442141117014,12537,8032,7461,347,0.973067370381869,0.518427677015426,283,"2079449, 1267759, 436031, 1050762, 1556857",validation,percent
0.565680190634532,0.565680190634532,0.565680190634532,13297,9559,7591,347,0.974567575491058,0.557376093294461,283,"2079449, 1267759, 436031, 1050762, 1556857",all,percent
0.87770503472229,0.87770503472229,0.87770503472229,760,1515,142,0,1,0.914302957151479,0,"2079638, 1267759, 436031, 1050762, 1556857",training,percent
0.522108051036836,0.522108051036836,0.522108051036836,12533,7758,7726,351,0.972756907792611,0.501033324722294,292,"2079638, 1267759, 436031, 1050762, 1556857",validation,percent
0.552163616404874,0.552163616404874,0.552163616404874,13293,9273,7868,351,0.974274406332454,0.540983606557377,292,"2079638, 1267759, 436031, 1050762, 1556857",all,percent
0.876154691316298,0.876154691316298,0.876154691316298,760,1513,144,0,1,0.913095956547978,0,"1715399, 888688, 1267759, 1365502, 1050762",training,percent
0.512536947121505,0.512536947121505,0.512536947121505,12419,7956,7758,473,0.963310580204778,0.506300114547537,54,"1715399, 888688, 1267759, 1365502, 1050762",validation,percent
0.542984215903076,0.542984215903076,0.542984215903076,13179,9469,7902,473,0.965353061822444,0.54510390881354,54,"1715399, 888688, 1267759, 1365502, 1050762",all,percent
0.884733141575412,0.884733141575412,0.884733141575412,760,1524,133,0,1,0.91973445986723,0,"1565053, 1267759, 409114, 436031, 1050762",training,percent
0.549599880856457,0.549599880856457,0.549599880856457,12603,8257,7401,279,0.978341872380065,0.527334270021714,120,"1565053, 1267759, 409114, 436031, 1050762",validation,percent
0.577105029672576,0.577105029672576,0.577105029672576,13363,9781,7534,279,0.979548453305967,0.564885937048802,120,"1565053, 1267759, 409114, 436031, 1050762",all,percent
0.893440096690225,0.893440096690225,0.893440096690225,760,1535,122,0,1,0.926372963186482,0,"708013, 1267759, 1420382, 436031, 1050762",training,percent
0.574919112956185,0.574919112956185,0.574919112956185,12530,8955,6768,362,0.97192057089668,0.569547796222095,45,"708013, 1267759, 1420382, 436031, 1050762",validation,percent
0.600650431691398,0.600650431691398,0.600650431691398,13290,10490,6890,362,0.973483738646352,0.603567318757192,45,"708013, 1267759, 1420382, 436031, 1050762",all,percent
0.873836884084948,0.873836884084948,0.873836884084948,760,1510,147,0,1,0.911285455642728,0,"1718848, 888688, 1267759, 436031, 1050762",training,percent
0.48364734599274,0.48364734599274,0.48364734599274,12543,7121,8586,341,0.973533064265756,0.453364741834851,69,"1718848, 888688, 1267759, 436031, 1050762",validation,percent
0.516762906351622,0.516762906351622,0.516762906351622,13303,8631,8733,341,0.975007329228965,0.497062888735314,69,"1718848, 888688, 1267759, 436031, 1050762",all,percent
