NON_GOI,GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type,set
0.920564689627805,0.920564689627805,0.920564689627805,536,5595,22,62,0.896321070234114,0.996083318497419,0,"3045, 60053, 32316, 59589, 804",training,mcc,3
0.910100196771189,0.910100196771189,0.910100196771189,1886,22632,96,246,0.884615384615385,0.995776135163675,2,"3045, 60053, 32316, 59589, 804",validation,mcc,3
0.912394322301132,0.912394322301132,0.912394322301132,2422,28227,118,308,0.887179487179487,0.995837008290704,2,"3045, 60053, 32316, 59589, 804",all,mcc,3
0.920564689627805,0.920564689627805,0.920564689627805,536,5595,22,62,0.896321070234114,0.996083318497419,0,"3047, 60053, 32316, 59589, 804",training,mcc,3
0.909335479467642,0.909335479467642,0.909335479467642,1886,22629,99,246,0.884615384615385,0.99564413938754,2,"3047, 60053, 32316, 59589, 804",validation,mcc,3
0.911794619686077,0.911794619686077,0.911794619686077,2422,28224,121,308,0.887179487179487,0.995731169518434,2,"3047, 60053, 32316, 59589, 804",all,mcc,3
0.921316410925888,0.921316410925888,0.921316410925888,532,5600,17,66,0.889632107023411,0.996973473384369,0,"55411, 60053, 77271, 32316, 59589",training,mcc,3
0.906791198251648,0.906791198251648,0.906791198251648,1861,22645,83,270,0.87329892069451,0.996348116860261,3,"55411, 60053, 77271, 32316, 59589",validation,mcc,3
0.909972950645755,0.909972950645755,0.909972950645755,2393,28245,100,336,0.876877977281055,0.996472040924325,3,"55411, 60053, 77271, 32316, 59589",all,mcc,3
0.919435767285439,0.919435767285439,0.919435767285439,532,5598,19,66,0.889632107023411,0.996617411429589,0,"28320, 60053, 77271, 32316, 59589",training,mcc,3
0.904999145667261,0.904999145667261,0.904999145667261,1862,22637,91,269,0.873768183951197,0.9959961281239,3,"28320, 60053, 77271, 32316, 59589",validation,mcc,3
0.908160966820834,0.908160966820834,0.908160966820834,2394,28235,110,335,0.877244411872481,0.996119245016758,3,"28320, 60053, 77271, 32316, 59589",all,mcc,3
0.919435767285439,0.919435767285439,0.919435767285439,532,5598,19,66,0.889632107023411,0.996617411429589,0,"77271, 60053, 47433, 32316, 59589",training,mcc,3
0.906290137853591,0.906290137853591,0.906290137853591,1862,22642,86,269,0.873768183951197,0.996216121084125,3,"77271, 60053, 47433, 32316, 59589",validation,mcc,3
0.909173093625878,0.909173093625878,0.909173093625878,2394,28240,105,335,0.877244411872481,0.996295642970541,3,"77271, 60053, 47433, 32316, 59589",all,mcc,3
0.913917364170321,0.913917364170321,0.913917364170321,533,5591,26,65,0.891304347826087,0.995371194587858,0,"81607, 60053, 32316, 59589, 804",training,mcc,3
0.909888244797668,0.909888244797668,0.909888244797668,1889,22627,101,242,0.886438291881746,0.995556142203449,3,"81607, 60053, 32316, 59589, 804",validation,mcc,3
0.910782751698166,0.910782751698166,0.910782751698166,2422,28218,127,307,0.887504580432393,0.995519491973893,3,"81607, 60053, 32316, 59589, 804",all,mcc,3
0.918307612461508,0.918307612461508,0.918307612461508,527,5602,15,71,0.881270903010034,0.997329535339149,0,"24661, 60053, 10281, 32316, 59589",training,mcc,3
0.902723376403284,0.902723376403284,0.902723376403284,1849,22643,85,283,0.867260787992495,0.99626011967617,2,"24661, 60053, 10281, 32316, 59589",validation,mcc,3
0.906125954372079,0.906125954372079,0.906125954372079,2376,28245,100,354,0.87032967032967,0.996472040924325,2,"24661, 60053, 10281, 32316, 59589",all,mcc,3
0.927664399849909,0.927664399849909,0.927664399849909,463,5684,4,64,0.878557874762808,0.99929676511955,0,"75022, 60053, 17726, 804, 3464",training,mcc,4
0.903928162505862,0.903928162505862,0.903928162505862,1859,22630,28,345,0.843466424682396,0.998764233383352,0,"75022, 60053, 17726, 804, 3464",validation,mcc,4
0.908556853818182,0.908556853818182,0.908556853818182,2322,28314,32,409,0.850238008055657,0.998871092923164,0,"75022, 60053, 17726, 804, 3464",all,mcc,4
0.936403911937931,0.936403911937931,0.936403911937931,475,5680,8,52,0.901328273244782,0.9985935302391,0,"50410, 60053, 59958, 804, 59589",training,mcc,4
0.915364672070501,0.915364672070501,0.915364672070501,1915,22616,42,288,0.8692691783931,0.998146350075029,1,"50410, 60053, 59958, 804, 59589",validation,mcc,4
0.919465540123003,0.919465540123003,0.919465540123003,2390,28296,50,340,0.875457875457876,0.998236082692443,1,"50410, 60053, 59958, 804, 59589",all,mcc,4
0.933115056587233,0.933115056587233,0.933115056587233,469,5683,5,58,0.889943074003795,0.999120956399437,0,"28320, 60053, 59958, 804, 59589",training,mcc,4
0.911316817228967,0.911316817228967,0.911316817228967,1891,22624,34,311,0.858764759309718,0.998499426251214,2,"28320, 60053, 59958, 804, 59589",validation,mcc,4
0.915567173496258,0.915567173496258,0.915567173496258,2360,28307,39,369,0.864785635764016,0.998624144500106,2,"28320, 60053, 59958, 804, 59589",all,mcc,4
0.934206843612764,0.934206843612764,0.934206843612764,471,5682,6,56,0.893738140417457,0.998945147679325,0,"3045, 60053, 59958, 804, 59589",training,mcc,4
0.912960436375538,0.912960436375538,0.912960436375538,1902,22620,38,301,0.863368134362233,0.998322888163121,1,"3045, 60053, 59958, 804, 59589",validation,mcc,4
0.917101113603759,0.917101113603759,0.917101113603759,2373,28302,44,357,0.869230769230769,0.99844775276935,1,"3045, 60053, 59958, 804, 59589",all,mcc,4
0.932026090456939,0.932026090456939,0.932026090456939,468,5683,5,59,0.888045540796964,0.999120956399437,0,"47433, 60053, 59958, 804, 77271",training,mcc,4
0.909485833518747,0.909485833518747,0.909485833518747,1877,22631,26,326,0.852019972764412,0.998852451780906,2,"47433, 60053, 59958, 804, 77271",validation,mcc,4
0.913881418584479,0.913881418584479,0.913881418584479,2345,28314,31,385,0.858974358974359,0.998906332686541,2,"47433, 60053, 59958, 804, 77271",all,mcc,4
0.932049720768269,0.932049720768269,0.932049720768269,471,5680,8,56,0.893738140417457,0.9985935302391,0,"3047, 60053, 59958, 804, 59589",training,mcc,4
0.912698389675406,0.912698389675406,0.912698389675406,1902,22619,39,301,0.863368134362233,0.998278753641098,1,"3047, 60053, 59958, 804, 59589",validation,mcc,4
0.916468661059603,0.916468661059603,0.916468661059603,2373,28299,47,357,0.869230769230769,0.998341917730897,1,"3047, 60053, 59958, 804, 59589",all,mcc,4
0.928762914326777,0.928762914326777,0.928762914326777,467,5681,7,60,0.886148007590133,0.998769338959212,0,"48426, 60053, 59958, 77271, 804",training,mcc,4
0.908421802348776,0.908421802348776,0.908421802348776,1878,22622,31,325,0.852473899228325,0.998631527832958,6,"48426, 60053, 59958, 77271, 804",validation,mcc,4
0.912385786117282,0.912385786117282,0.912385786117282,2345,28303,38,385,0.858974358974359,0.998659186337814,6,"48426, 60053, 59958, 77271, 804",all,mcc,4
0.930945457267092,0.930945457267092,0.930945457267092,465,5685,3,62,0.882352941176471,0.999472573839662,0,"77271, 60053, 59958, 10511, 804",training,mcc,4
0.906043341006027,0.906043341006027,0.906043341006027,1854,22642,16,349,0.841579664094417,0.99929384764763,1,"77271, 60053, 59958, 10511, 804",validation,mcc,4
